Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL,Season, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,SCA SCA,SCA GCA, 1/3
9/15/15,Champions League,Shakhtar Donetsk,Marcelo,12,br BRA,LB,27-126,90,0,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Sergio Ramos,4,es ESP,CB,29-169,59,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Nacho,6,es ESP,DF,25-240,31,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Raphaël Varane,5,fr FRA,CB,22-143,45,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Pepe,3,pt POR,"DF,MF",32-201,45,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Dani Carvajal,2,es ESP,RB,23-247,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Keylor Navas,1,cr CRC,GK,28-274,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/15,La Liga,Granada,Karim Benzema,9,fr FRA,FW,27-274,76,1,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/15,La Liga,Granada,Denis Cheryshev,21,ru RUS,"FW,MF",24-267,14,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/15,La Liga,Granada,Cristiano Ronaldo,7,pt POR,AM,30-226,90,0,0,0,0,8,5,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
