Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
9/9/17,La Liga,Levante,Kiko Casilla,13,es ESP,GK,30-342,90,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,13,14,92.9,0,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,14,92.9,318,226,1,1,100,8,8,100,4,5,80,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/13/17,Champions League,Apoel Fc,Gareth Bale,11,wls WAL,"FW,LW",28-059,81,0,1,0,0,4,0,0,0,1,39,0,0,0.2,0.2,1.1,6,1,24,33,72.7,4,24,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,24,33,72.7,449,106,14,15,93.3,5,6,83.3,4,8,50,1,1.1,0.6,5,0,3,2,4,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
9/13/17,Champions League,Apoel Fc,Borja Mayoral,21,es ESP,"FW,LW",20-161,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,100,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,2,100,15,0,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
9/13/17,Champions League,Apoel Fc,Cristiano Ronaldo,7,pt POR,FW,32-220,90,2,0,1,1,8,2,0,0,0,39,0,0,2.7,1.9,0.4,5,0,23,30,76.7,1,23,6,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,30,76.7,263,41,17,19,89.5,3,5,60,1,2,50,0,0.4,0.2,2,0,0,0,1,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
9/13/17,Champions League,Apoel Fc,Isco,22,es ESP,"AM,RW",25-145,71,0,0,0,0,4,1,0,0,0,79,1,0,0.5,0.5,0.1,6,1,65,71,91.5,11,54,10,3,3,1,1,0,0,1,1,1,100,0,0,0,0,0,1,0,0,65,71,91.5,1027,245,38,39,97.4,17,18,94.4,7,9,77.8,0,0.1,0.3,2,9,1,0,11,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
9/13/17,Champions League,Apoel Fc,Dani Ceballos,24,es ESP,"AM,RW",21-037,19,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,22,24,91.7,5,18,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22,24,91.7,368,46,13,13,100,7,8,87.5,2,3,66.7,0,0,0,0,0,0,0,5,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
9/13/17,Champions League,Apoel Fc,Mateo Kovačić,23,hr CRO,LM,23-130,24,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,16,17,94.1,3,16,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,17,94.1,377,56,4,4,100,8,9,88.9,4,4,100,0,0,0,0,3,0,0,3,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
9/13/17,Champions League,Apoel Fc,Toni Kroos,8,de GER,LM,27-252,66,0,0,0,0,2,0,0,0,0,89,3,0,0.1,0.1,0.2,7,0,74,83,89.2,16,55,0,0,0,3,2,0,1,2,1,2,50,1,0,0,0,0,3,0,0,74,83,89.2,1403,443,29,31,93.5,32,34,94.1,10,13,76.9,0,0.2,0.2,4,17,1,0,16,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
9/13/17,Champions League,Apoel Fc,Luka Modrić,10,hr CRO,RM,32-004,90,0,0,0,0,3,0,0,0,0,92,1,0,0.1,0.1,0,12,0,74,85,87.1,20,66,2,4,3,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,74,85,87.1,1354,467,32,35,91.4,30,34,88.2,8,11,72.7,0,0,0.3,1,11,3,0,20,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
9/13/17,Champions League,Apoel Fc,Casemiro,14,br BRA,"DM,CM",25-202,90,0,0,0,0,2,1,0,0,2,77,9,1,0.1,0.1,0,1,0,52,62,83.9,6,31,1,1,1,9,5,4,2,3,4,5,80,1,1,0,1,2,11,1,0,52,62,83.9,1132,326,20,22,90.9,19,24,79.2,11,12,91.7,0,0,0,0,6,0,0,6,https://fbref.com/en/matches/fd3ebb28/Real-Madrid-APOEL-FC-September-13-2017-Champions-League
